Geography,Population for whom poverty status is determined
0500000US12075,42056
0500000US12077,6554
0500000US12079,15933
0500000US12081,390383
0500000US12083,360734
0500000US12085,155071
0500000US12086,2655101
0500000US12087,81035
0500000US12089,87664
0500000US12091,202724
0500000US12093,36490
0500000US12095,1377713
0500000US12097,377685
0500000US12099,1460990
0500000US12101,543449
0500000US12103,942924
0500000US12105,699296
0500000US12107,71787
0500000US12109,262963
0500000US12111,321414
0500000US12113,177881
0500000US12115,423516
0500000US12117,463438
0500000US12119,118197
0500000US12121,41594
0500000US12123,18142
0500000US12125,10308
0500000US12127,538024
0500000US12129,29782
0500000US12131,71713
0500000US12133,22039
0500000US13001,18149
0500000US13003,8228
0500000US13005,10458
0500000US13007,2928
0500000US13009,39392
0500000US13011,18022
0500000US13013,81720
0500000US13015,106512
0500000US13017,16907
0500000US13019,17915
0500000US13021,150265
0500000US13023,11278
0500000US13025,17993
0500000US13027,16106
0500000US13029,43020
0500000US13031,69607
0500000US13033,23837
0500000US13035,22269
0500000US13037,3845
0500000US13039,52011
0500000US13043,10657
0500000US13045,114498
0500000US13047,66875
0500000US13049,11353
0500000US13051,283602
0500000US13053,6033
0500000US13055,22820
0500000US13057,259988
0500000US13059,116772
0500000US13061,2838
0500000US13063,288273
0500000US13065,6659
0500000US13067,750787
0500000US13069,39887
0500000US13071,45297
0500000US13073,153162
0500000US13075,16937
0500000US13077,144211
0500000US13079,11979
0500000US13081,19991
0500000US13083,14970
0500000US13085,25965
0500000US13087,27896
0500000US13089,745752
0500000US13091,18166
0500000US13093,9956
0500000US13095,83128
0500000US13097,141715
0500000US13099,10672
0500000US13101,3691
0500000US13103,62960
0500000US13105,19235
0500000US13107,21787
0500000US13109,10290
0500000US13111,24977
0500000US13113,116752
0500000US13115,93898
0500000US13117,244915
0500000US13119,22717
0500000US13121,1021572
0500000US13123,30772
0500000US13125,2839
0500000US13127,82913
0500000US13129,56605
0500000US13131,25872
0500000US13133,18285
0500000US13135,941554
0500000US13137,43319
0500000US13139,199714
0500000US13141,6369
0500000US13143,29284
0500000US13145,33775
0500000US13147,24969
0500000US13149,11289
0500000US13151,235062
0500000US13153,158920
0500000US13155,9352
0500000US13157,72988
0500000US13159,14314
0500000US13161,14676
0500000US13163,15200
0500000US13165,7964
0500000US13167,8451
0500000US13169,28037
0500000US13171,17174
0500000US13173,9589
0500000US13175,48240
0500000US13177,31227
0500000US13179,61986
0500000US13181,7588
0500000US13183,16081
0500000US13185,113052
0500000US13187,31702
0500000US13189,21509
0500000US13191,11170
0500000US13193,10296
0500000US13195,29670
0500000US13197,7466
0500000US13199,20500
0500000US13201,5846
0500000US13205,19681
0500000US13207,26633
0500000US13209,7866
0500000US13211,19367
0500000US13213,39323
0500000US13215,197913
0500000US13217,109616
0500000US13219,40727
0500000US13221,14610
0500000US13223,164651
0500000US13225,25918
0500000US13227,32578
0500000US13229,19472
0500000US13231,18458
0500000US13233,42439
0500000US13235,8566
0500000US13237,21732
0500000US13239,2249
0500000US13241,16444
0500000US13243,6250
0500000US13245,195580
0500000US13247,92044
0500000US13249,4622
0500000US13251,13629
0500000US13253,9008
0500000US13255,65491
0500000US13257,25483
0500000US13259,3378
0500000US13261,27656
0500000US13263,5805
0500000US13265,1574
0500000US13267,19066
0500000US13269,7708
0500000US13271,9990
0500000US13273,8784
0500000US13275,45076
0500000US13277,39156
0500000US13279,26601
0500000US13281,11426
0500000US13283,6042
0500000US13285,67841
0500000US13287,8568
0500000US13289,7984
0500000US13291,23629
