Geography,HOUSE UNIT
0500000US16065,13938
0500000US16067,8198
0500000US16069,18267
0500000US16071,2000
0500000US16073,4714
0500000US16075,9648
0500000US16077,2938
0500000US16079,7003
0500000US16081,5759
0500000US16083,34340
0500000US16085,12162
0500000US16087,4529
0500000US17001,30225
0500000US17003,3059
0500000US17005,6902
0500000US17007,20138
0500000US17009,2346
0500000US17011,15615
0500000US17013,2344
0500000US17015,8195
0500000US17017,5702
0500000US17019,92663
0500000US17021,15242
0500000US17023,7378
0500000US17025,6171
0500000US17027,15575
0500000US17029,22852
0500000US17031,2253936
0500000US17033,8497
0500000US17035,4736
0500000US17037,41289
0500000US17039,7350
0500000US17041,8463
0500000US17043,364157
0500000US17045,8306
0500000US17047,3053
0500000US17049,15237
0500000US17051,8887
0500000US17053,6281
0500000US17055,18521
0500000US17057,15884
0500000US17059,2528
0500000US17061,5858
0500000US17063,21046
0500000US17065,3847
0500000US17067,8980
0500000US17069,2239
0500000US17071,3423
0500000US17073,22204
0500000US17075,12865
0500000US17077,27898
0500000US17079,4235
0500000US17081,16657
0500000US17083,9817
0500000US17085,13425
0500000US17087,5534
0500000US17089,187852
0500000US17091,45288
0500000US17093,44443
0500000US17095,23839
0500000US17097,268508
0500000US17099,49825
0500000US17101,6361
0500000US17103,14999
0500000US17105,15925
0500000US17107,11981
0500000US17109,13714
0500000US17111,119465
0500000US17113,74487
0500000US17115,49832
0500000US17117,21114
0500000US17119,118518
0500000US17121,17470
0500000US17123,5835
0500000US17125,6688
0500000US17127,6840
0500000US17129,5608
0500000US17131,7299
0500000US17133,14438
0500000US17135,12581
0500000US17137,15082
0500000US17139,6172
0500000US17141,22637
0500000US17143,84914
0500000US17145,9166
0500000US17147,7359
0500000US17149,7332
0500000US17151,2370
0500000US17153,2876
0500000US17155,3069
0500000US17157,13425
0500000US17159,7381
0500000US17161,66667
0500000US17163,115125
0500000US17165,11593
0500000US17167,92702
0500000US17169,3342
0500000US17171,2403
0500000US17173,10075
0500000US17175,2588
0500000US17177,21449
0500000US17179,58606
0500000US17181,7860
0500000US17183,34626
0500000US17185,5418
0500000US17187,7613
0500000US17189,6428
0500000US17191,7707
0500000US17193,6805
0500000US17195,25872
0500000US17197,249401
0500000US17199,31674
0500000US17201,125111
0500000US17203,15677
0500000US18001,13153
0500000US18003,161287
0500000US18005,35155
0500000US18007,3804
0500000US18009,5885
0500000US18011,27750
0500000US18013,8440
0500000US18015,9494
0500000US18017,16387
0500000US18019,51790
0500000US18021,11657
0500000US18023,13418
0500000US18025,5829
0500000US18027,12719
0500000US18029,20759
0500000US18031,11489
0500000US18033,18033
0500000US18035,51683
0500000US18037,18481
0500000US18039,79411
0500000US18041,10878
0500000US18043,34111
0500000US18045,7748
0500000US18047,9641
0500000US18049,9540
0500000US18051,14576
0500000US18053,29877
0500000US18055,14446
0500000US18057,132952
0500000US18059,31680
0500000US18061,16703
0500000US18063,65852
0500000US18065,20962
0500000US18067,39485
0500000US18069,16168
0500000US18071,19027
0500000US18073,13491
0500000US18075,8939
0500000US18077,14389
0500000US18079,11650
0500000US18081,62781
0500000US18083,16936
0500000US18085,38079
0500000US18087,14775
0500000US18089,214176
0500000US18091,49656
0500000US18093,20560
0500000US18095,58791
0500000US18097,434596
0500000US18099,19736
0500000US18101,4598
0500000US18103,14921
0500000US18105,63155
0500000US18107,16471
0500000US18109,29175
0500000US18111,6022
0500000US18113,20068
0500000US18115,2723
0500000US18117,9060
0500000US18119,9816
0500000US18121,7610
0500000US18123,8512
0500000US18125,5596
0500000US18127,70944
0500000US18129,11071
0500000US18131,5853
0500000US18133,14890
0500000US18135,11415
0500000US18137,12243
0500000US18139,7364
0500000US18141,117767
0500000US18143,10688
0500000US18145,19375
0500000US18147,8625
0500000US18149,11114
0500000US18151,18924
0500000US18153,8786
0500000US18155,4396
0500000US18157,76982
0500000US18159,6820
0500000US18161,3233
0500000US18163,84111
0500000US18165,7307
0500000US18167,46940
0500000US18169,14046
0500000US18171,3673
0500000US18173,25974
0500000US18175,12111
0500000US18177,30798
